微博内容,发布者名称,发布时间及设备,发布者主页
我真的是Python大怨种吧写作业没看清要求就写了之前还有两次作业复制黏贴错了平时分直接没了再之前写小测开错浏览器​,扶桉kaleidoscope-,04月02日22:50 来自微博极速版,https://weibo.com/6305365314?refer_flag=1001030103_
救......已经到了sqlpython语法错乱的程度了​,多啦好多梦,04月02日22:50 来自iPhone客户端,https://weibo.com/6134242224?refer_flag=1001030103_
我真的不会写python救救我吧真的孩子要崩溃了#python##大学生#​,辛德睿拉睿,04月02日22:44 来自荣耀50Pro5G,https://weibo.com/5258550943?refer_flag=1001030103_
重新拾起python慕课嵩天老师的课真的一级棒以前都是自己乱滚乱爬​,xmmm29,04月02日22:38 来自iPhone客户端,https://weibo.com/3195633732?refer_flag=1001030103_
我为什么要选python为什么为什么为什么啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊暴躁的想把电脑砸了​,ZXalwayshappy,04月02日22:38 来自iPhone12,https://weibo.com/6582425450?refer_flag=1001030103_
明天要去克罗地亚玩了，我一点都高兴不起来。不喜欢跟不熟的人一起旅游，也不喜欢旅游花很多时间在路上，我就是想多躺多吃，在house/hotel里面好好休息，甚至打两局python。去你爹的花钱受罪式旅游！​,ProzacPekki,04月02日22:35 来自新版微博weibo.com,https://weibo.com/7319245319?refer_flag=1001030103_
谁会Python谁来教教我啊​,辣笔小鑫oOo,04月02日22:28 来自丁程鑫的比邻星,https://weibo.com/5199648361?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【KK吧】人工智能核心能力培养计划-自然语言处理nlp方向》《【Z哇】2021高级前端web高级全栈5期》《04解/du【9章算法】电商秒杀系统-Spring项目实战2021超推》《【8斗】大数据2​展开c,IT编程资料馆_看置顶找我,04月02日22:27 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
上周上python的时候因为太困睡过去了结果今天登上学习通发现上节课老师没有上传录制视频后天还要交python作业我完了​,白象藏进月光里_,04月02日22:20 来自iPhone客户端,https://weibo.com/5665355009?refer_flag=1001030103_
毕业以后我应该再也不会碰r和python了伤我太深垃圾电脑installpackage都费劲​,十吉茄又,04月02日22:19 来自iPhone客户端,https://weibo.com/2976060424?refer_flag=1001030103_
我只是个因为电脑内存带不动Python的可怜社畜啊我为什么要听到这些​,侃井圆,04月02日22:17 来自HUAWEIP405G,https://weibo.com/7467939845?refer_flag=1001030103_
用python做时间控制也太不稳定了🙃2.7能运行的东西改用3.7就不对​,木得感情的机器羊,04月02日22:11 来自iPhone客户端,https://weibo.com/1805743841?refer_flag=1001030103_
四月规划:1.建立小红书读书主题账号2.学完生涯辅导培训3.学完python培训4.每天锻炼半小时冲！​,一个是白另一个也是白,04月02日22:09 来自小米11,https://weibo.com/7379029873?refer_flag=1001030103_
一对比才真切的体会到，练面试比写论文有意思多了我真的写不下去了有无Python大佬帮帮我的知识图谱​,大作_暴躁版,04月02日22:09 来自iPhone客户端,https://weibo.com/2580969740?refer_flag=1001030103_
考研：临死抱c艹佛脚读研：python真简单找工作：临死抱c艹佛脚工作：java和sql是什么拿到心仪offer真的好开心！！！high了一天了！！！！​,闪现吃雪糕,04月02日22:08 来自新版微博weibo.com,https://weibo.com/7313448845?refer_flag=1001030103_
来个人教我Python吧，真的什么也不会​,名字很长的话总有傻子会读吧,04月02日22:05 来自OnePlus9R,https://weibo.com/6608636752?refer_flag=1001030103_
我今天给我哥发了计算机作业的要求我说我一点都看不懂我学的是python俺哥学的是C语言然后俺哥下午就去学了python刚刚跟俺开腾讯会议给俺开小课手把手教学第一次觉得电脑天才超有魅力​,福咸咸是俺,04月02日22:04 来自iPhone客户端,https://weibo.com/7625661119?refer_flag=1001030103_
琢磨了整整3h就为了一道python我真的是谢（还没做出来）​,抹茶红豆小天才,04月02日22:03 来自iPhone客户端,https://weibo.com/6663055450?refer_flag=1001030103_
所以现在学统计的不会机器学习和python大概是找不到工作的​,matheming,04月02日22:01 来自iPhone客户端,https://weibo.com/5979414989?refer_flag=1001030103_
今年一定要完成的三件事学会用Python编程序过六级准备考研​,所有的长枪都是我开的,04月02日22:00 来自OPPOReno2,https://weibo.com/7490737166?refer_flag=1001030103_
提问：我现在自学python来得及吗​,Mirroraaaa-,04月02日21:56 来自iPhone客户端,https://weibo.com/3753410133?refer_flag=1001030103_
我笑死了浙江高中还学编程Python对人家来说好像也不是事​,顾念TANYA,04月02日21:51 来自OPPOA11x,https://weibo.com/7538431103?refer_flag=1001030103_
真希望有个python大佬从天而降救救我​,_ycqlp,04月02日21:50 来自iPhone11ProMax,https://weibo.com/5993358636?refer_flag=1001030103_
是谁被Python虐的体无完肤我能抓到一个会情感得分的宝吗​,山行迹野,04月02日21:49 来自OPPOK5,https://weibo.com/7120248770?refer_flag=1001030103_
8、朋友请你吃饭的时候，如果让你挑地方或者点菜，你要慎重一点。最好的办法是让他推荐，否则你不清楚对方的预算是多少，他本想请你吃顿包子，你一开口就说要去吃日料。9、别人看不起你的时候，别太在意，因为他们看不起你一般都是因为你自己还不够牛逼。10、你能赚多少钱，取决于你的核心竞争力是​展开c,一粒沙有人疼,04月02日21:46 来自iPhone客户端,https://weibo.com/6032411116?refer_flag=1001030103_
studyaccount4.2周六今天觉得效率不错哈哈哈打算用时间轴记录7：40起床忘记自己的7:20的闹钟是周一到周五的了8：40开始学习啦写囤的数分作业~10：00开始学英语不背单词英语听力精听~11：00补昨天的会计网课15：00午休完起来写会计作业16：00~18：00学韩语~19：20运动​展开c,黎子sulia,04月02日21:45 来自studyaccount超话,https://weibo.com/7625231191?refer_flag=1001030103_
我焯信息还要敲python不会啊好想gg​,·云予茶o,04月02日21:42 来自vivo全新水滴屏手机,https://weibo.com/6564174241?refer_flag=1001030103_
python真的学不明白​,小8会努力变强,04月02日21:41 来自iPhone客户端,https://weibo.com/7070712396?refer_flag=1001030103_
恨聪明又不太聪明的Python其实是我不太聪明​,伍绚轶,04月02日21:39 来自微博国际版,https://weibo.com/6604046658?refer_flag=1001030103_
"Grey13集有个Python大蟒wrappedaroundapatient,不上图了，今晚要nightmare了​",小鱼儿翻译,04月02日21:36 来自华为手机畅享玩不停,https://weibo.com/3687125804?refer_flag=1001030103_
有没有好心人告诉我为什么考生文件夹里面的文件拖进python后打开就只是一片黑色救大命啊小黑课堂计算机二级L读书仔200409的微博视频​,读书仔200409,04月02日21:36 来自小黑课堂计算机二级超话,https://weibo.com/7313120593?refer_flag=1001030103_
今天下定决心，必须要学python，转码在早不在晚​,高贵玲玲,04月02日21:33 来自小米11青春活力版,https://weibo.com/6283547900?refer_flag=1001030103_
编程技术一直在迭代更新，需要一直不断学习。网课太贵，但是你遇到了我，一切变得美好！随机资料展示：《【NM班】软件测试从小白到高手全程班88期（同步更新中）零基础就业课》《【MT计划】算法班ai方向（同步更新中）》《【KK吧】-完成你的第一个智能机器人002期（2021解/du）机器人​展开c,IT编程资料馆_看置顶找我,04月02日21:33 来自微博weibo.com,https://weibo.com/6419522392?refer_flag=1001030103_
比正则快M倍以上！Python替换字符串的新姿势！O网页链接​,开发者头条,04月02日21:33 来自新版微博weibo.com,https://weibo.com/5191033181?refer_flag=1001030103_
#云南财经大学##高数帮#单科3r高数帮常微分方程数学物理方法政治经济学土力学混凝土水力学化工原理有机化学电磁场与电磁波互换性技术测量管理学数据库编译原理高频电子线路控制工程基础计算机组成原理工程热力学工程经济学机械制造工艺学流体力学，单片机，信号与系统马​展开c,我的铁塔梦828,04月02日21:32 来自nova7SE5G你在焦点在,https://weibo.com/5919577481?refer_flag=1001030103_
我python终于入门了！！为期三十天的夜曲编程python入门课程，让小白终于会了，在夜曲编程平台可以先不用下载程序也能练习，而且难度由浅入深，关键是30天完成百题斩打卡可以得蓝牙键盘，已经在期待了可以不用现在是大一学习德语，基本上高数啊计算机这些都不学，但是还是想自己提升一下，以后写​展开c,烟花散落了风的寂寞水灵灵,04月02日21:31 来自HUAWEIMate40,https://weibo.com/6321769006?refer_flag=1001030103_
#太原理工大学#高数帮单科3r，微博不看私信，加QQ秒回高数帮常微分方程数学物理方法政治经济学土力学混凝土水力学化工原理有机化学电磁场与电磁波互换性技术测量管理学数据库编译原理高频电子线路控制工程基础计算机组成原理工程热力学工程经济学机械制造工艺学流体力学​展开c,粉色的金币75666,04月02日21:30 来自nova7SE5G你在焦点在,https://weibo.com/7719804766?refer_flag=1001030103_
#图灵编程##python#被吹得神乎其技的Python，到底都能干什么一起来了解一下叭~L广州图灵编程的微博视频​,广州图灵编程,04月02日21:30 来自微博视频号,https://weibo.com/7595834016?refer_flag=1001030103_
【TranscribeSpeechtoTextwithPythonforFree】O网页链接使用Python免费将语音转录为文本。​,网路冷眼,04月02日21:30 来自微博weibo.com,https://weibo.com/1715118170?refer_flag=1001030103_
为了逃避写论文竟然愿意主动学习Python😅​,王耀的女朋友不认输,04月02日21:25 来自荣耀30S5G美由芯生,https://weibo.com/6580399346?refer_flag=1001030103_
我真的栓q你真的很闲要不来帮我写写python作业,北极兔販賣机,04月02日21:21 来自iPhone客户端,https://weibo.com/5677321296?refer_flag=1001030103_
会变得不幸也是人之常态学会python能够毕业最为重要​,你今天有很开心嘛,04月02日21:20 来自HUAWEIP20Pro,https://weibo.com/7554727380?refer_flag=1001030103_
老司机带我扫了一天python的盲…感觉他带不动我心情沉重​,其实是个快秃头的话痨,04月02日21:19 来自微博HTML5版,https://weibo.com/6423770386?refer_flag=1001030103_
女大学生python课竟然在看帅小伙LLevi·chen的微博视频​,Levi·chen,04月02日21:17 来自iPhone客户端,https://weibo.com/5919305146?refer_flag=1001030103_
"一周学python机考只做了一题,还是最简单的最后测试用例40%多虽然…不该…但作为学渣我已经很满意了好歹也能跑通一些那毕竟我也是现学的很多内置函数,语法啊都不清楚（也算是自我安慰了最近信心在慢慢磨没了我还是要坚持住啊)​",流火绯夏,04月02日21:12 来自iPhone客户端,https://weibo.com/2601614203?refer_flag=1001030103_
"#毕业设计##计算机毕业设计##毕设#毕业设计手上的项目快结束了，可以做比较急的。计算机软件课程设计，毕业设计指导，Java，Python，PHP，jsp,web，人脸识别，安卓Android，机器学习，毕设指导，代码讲解指导​​​。​​​",_未来尚可期,04月02日21:10 来自iPhone客户端,https://weibo.com/2927512045?refer_flag=1001030103_
有用过itertools.cycle吗？可以方便地循环遍历序列✅️#Python#​,爱可可-爱生活,04月02日21:05 来自Mac客户端,https://weibo.com/1402400261?refer_flag=1001030103_
怪不得Python老是出bug原来bug竟是我自己​,山有风兮风有音,04月02日21:01 来自nova7SE5G你在焦点在,https://weibo.com/6041804847?refer_flag=1001030103_
他妈滴python真是毕生的痛！本大学生真的学不明白​,奇怪汝崽,04月02日20:57 来自iPhone12,https://weibo.com/6600447973?refer_flag=1001030103_
哈哈！python！哈哈！python！哈哈！我恨你！！不要轻易用python做题！哈哈！哈哈哈！！气死我啦！！千百次地忘掉sorted要赋值才能排序！哈哈！哈哈！！找bug浪费我的大好青春！！哈哈！！！​,我爱扫雷888,04月02日20:51 来自nova5人像超级夜景,https://weibo.com/6222834011?refer_flag=1001030103_
能不能让高数线代大物python滚出我的世界🙏🙏🙏​,一盏伴夏,04月02日20:50 来自iPhone客户端,https://weibo.com/5750026268?refer_flag=1001030103_
我想嚎谢谢你Python​,料峭冬风233,04月02日20:47 来自微博国际版,https://weibo.com/7327713803?refer_flag=1001030103_
最近在用Rust。因为它的数组List或者动态数组Vector的长度是无符号整数usize，默认整形字面量又是i32，所以稍有不慎，我就要在代码中加各种asusize（i32转换为无符号整数）才能顺利访问数组元素。嗯，还是Python过瘾​,扬扬得力,04月02日20:41 来自新版微博weibo.com,https://weibo.com/2843149595?refer_flag=1001030103_
"#刘宇#宝，c语言真的好难，我还要学Python,为啥纯数学专业还要学各种计算机的课程啊，你快发个视频安慰我​",禁0824,04月02日20:40 来自禁禁是刘宇的鱼丸,https://weibo.com/6227241972?refer_flag=1001030103_
原来anaconda是水蚺的意思，所以本来就是为了python设计出来的但是要比他更大233333​,Miss_Reluctant_,04月02日20:37 来自iPadair,https://weibo.com/5701590096?refer_flag=1001030103_
今天我又被人质疑我有没有过四级记得上一次是在大三python课堂上，老师问我考了四级没？不是我英语差（虽然确实不太好）我只是在代码面前把字符串听成豆腐串的人​,PunYingHung,04月02日20:36 来自iPhone客户端,https://weibo.com/3219631740?refer_flag=1001030103_
那些转换干程序员没经验的干干外包差不多甲方送命，基本人人全栈，不会就逼命学，我现在的死状态就是走路都在看Python抓紧学在死命逼我就不干了玛德还要怎样啊​,喜欢吃辣条的nn,04月02日20:34 来自HUAWEIMate20X,https://weibo.com/6172736671?refer_flag=1001030103_
whocanhelpmetodopythonhomework​,Ron没有魔法棒,04月02日20:32 来自iPhone客户端,https://weibo.com/7464913624?refer_flag=1001030103_
在上Python课的时候一不小心打错了true，第一反应竟然是可能会被英语老师叫去打手。高三的每天都在恐慌中度过，生怕听写或者考试后因为哪个小小的字母让我在课上被点名，站到教室最后面上课。厕所里听到老师发火的声音，因为使用频率太高已经变弯的钢尺，推眼镜撩头发的手，未干的墨绿色黑板上的粉笔字​展开c,在十三月里_,04月02日20:30 来自微博国际版,https://weibo.com/5846148317?refer_flag=1001030103_
python为什么会出现在我的生活中，有谁会做…​,矢车菊的球球,04月02日20:20 来自OnePlus9R,https://weibo.com/3796093472?refer_flag=1001030103_
"人家用python轻松搞定,我在这瞎研究一整天，电脑软件下完这个下那个，还处处碰壁技术层面的问题总算是解决了​",user-minr,04月02日20:14 来自iPhone客户端,https://weibo.com/7062281589?refer_flag=1001030103_
喜欢你妈我的python和大物一点都听不懂​,三酒四,04月02日20:14 来自HUAWEIP40Pro5G,https://weibo.com/5958013082?refer_flag=1001030103_
#计算机二级python学习笔记#存储器分层体系是什么​,春风会来2022,04月02日20:13 来自新版微博weibo.com,https://weibo.com/7307700268?refer_flag=1001030103_
Python请问大佬们数值解要怎么求啊​,BABYSBREATH李,04月02日20:09 来自Python超话,https://weibo.com/6993363323?refer_flag=1001030103_
好想认识一个又会python又会数据挖掘的大牛带我飞​,用户l6ihm9egcf,04月02日20:04 来自华为AscendMate7,https://weibo.com/3469653270?refer_flag=1001030103_
Python做得我想si我是菜逼😭😭👊🏻​,HX闪闪发光,04月02日20:01 来自nova8我由我掌镜,https://weibo.com/5489749497?refer_flag=1001030103_
打火机与公主裙什么时候放呐因为李峋我几乎要爱上信息课里的python语言辽我要好好学编程！！！！我荒草园》里已经开满长明灯辽@某个溶液​,CompetitorJiang,04月02日19:59 来自iPhone客户端,https://weibo.com/2750738173?refer_flag=1001030103_
用上了别人用python弄得审计工具，就觉得python好cool啊，但是我就是数学和计算机废子只会在旁边鼓掌，并学不会pyhon，也学不进去​,_世川怀雪,04月02日19:58 来自新版微博weibo.com,https://weibo.com/6475089362?refer_flag=1001030103_
对于CFD自主编程而言，目前体会到的最难受的过程并不是编程本身，而在于算法上的实现。一直想做这个流动，但是文献中的算法也仅仅给了表面的公式，更深层次的离散算法作者不会花大手笔去解释清楚。以至于现在非算法类的绝大多数文章中都偏于说明物理背景下的偏微分方程，弱于解释各个变量之间的连接关​展开c,花椒炒菠萝,04月02日19:55 来自nova5Pro人像超级夜景,https://weibo.com/2248778805?refer_flag=1001030103_
#计算机二级python#电子管和晶体管区别是什么.​,春风会来2022,04月02日19:52 来自新版微博weibo.com,https://weibo.com/7307700268?refer_flag=1001030103_
感谢我这薄弱的python基础，让我成功的缝合了一些代码​,退役世界第一可爱,04月02日19:51 来自新版微博weibo.com,https://weibo.com/5684605980?refer_flag=1001030103_
"【TorchRL：PyTorch强化学习库】'TorchRL-Amodular,primitive-first,python-firstPyTorchlibraryforReinforcementLearning.'byMetaResearchGitHub:github.com/facebookresearch/rl#开源##机器学习#​",爱可可-爱生活,04月02日19:51 来自Mac客户端,https://weibo.com/1402400261?refer_flag=1001030103_
python课好卡，一点都不想听​,梦见ne,04月02日19:45 来自iPhone客户端,https://weibo.com/6201969799?refer_flag=1001030103_
面个试还要考计算（主要是我不会啊），我我我一定要努力学会python。（希望会的吧）​,爱吃芒果的稀饭,04月02日19:44 来自小米9,https://weibo.com/6723367733?refer_flag=1001030103_
python滚出我的世界我真的生气了​,·落渝炆煋·,04月02日19:44 来自iPhone客户端,https://weibo.com/5535034299?refer_flag=1001030103_
